gens,average_placement,hands_won,mean_money,fitness
gen367,8.205000,4604,3420.302527,5.850000
gen368,7.800000,5520,3500.285106,5.850000
gen369,7.445000,5086,3283.464884,6.450000
gen370,7.785000,4983,3281.452405,6.300000
gen371,8.039000,5100,3203.975723,6.300000
gen372,8.087000,5248,3413.216548,6.000000
gen373,7.701000,4918,3572.205879,5.700000
gen374,8.219000,5627,3407.640850,5.850000
gen375,8.046000,5101,3258.364459,6.450000
gen376,8.350000,5665,3365.896616,6.000000
gen377,8.107000,6122,3316.307197,5.850000
gen378,8.199000,4979,3399.927252,5.850000
gen379,8.025000,4963,3439.054761,5.850000
gen380,8.024000,5597,3324.505761,6.150000
gen381,8.385000,5016,3363.133782,6.000000
gen382,7.931000,5449,3364.404521,6.300000
gen383,8.015000,5852,3365.461436,6.150000
gen384,7.861000,5915,3376.354211,6.000000
gen385,8.320000,5546,3404.496273,5.850000
gen386,8.088000,5722,3259.554718,6.300000
gen387,8.021000,5996,3418.885396,5.850000
gen388,8.232000,5721,3359.576450,5.850000
gen389,8.310000,5225,3348.403840,6.150000
gen390,8.088000,5480,3411.675292,6.300000
gen391,8.108000,5913,3299.707833,6.300000
gen392,8.254000,6264,3222.694688,6.300000
gen393,8.294000,5880,3321.577393,6.450000
gen394,8.355000,5429,3269.741889,6.450000
gen395,7.664000,4867,3469.662044,5.850000
gen396,8.356000,5345,3328.471462,6.000000
gen397,8.045000,4668,3478.248451,6.000000
gen398,7.726000,4681,3453.182612,6.000000
gen399,8.158000,4692,3429.522884,5.850000
gen400,7.866000,5323,3456.080979,6.000000
gen401,8.415000,5555,3323.362279,6.150000
gen402,8.304000,5781,3367.394557,6.000000
gen403,8.028000,5523,3458.144995,5.850000
gen404,8.258000,5267,3401.353524,5.850000
gen405,8.139000,5400,3525.794243,5.700000
gen406,8.194000,5662,3370.445065,6.000000
gen407,8.345000,5002,3394.233721,5.850000
gen408,8.702000,5014,3160.448033,6.450000
gen409,8.015000,5318,3534.919190,5.550000
gen410,8.245000,5546,3322.852566,6.000000
gen411,8.180000,5558,3445.614790,5.850000
gen412,7.966000,4986,3351.308544,6.000000
gen413,8.237000,5169,3373.190969,6.300000
gen414,8.314000,5255,3476.190738,5.850000
